TIME,Cp:1
5.6,1.14224398
5.62,1.13160703
5.64,1.12106149
5.66,1.11060674
5.68,1.10024215
5.7,1.08996711
5.72,1.07978099
5.74,1.06968317
5.76,1.05967302
5.78,1.04974994
5.8,1.03991331
5.82,1.03016249
5.84,1.02049689
5.86,1.01091589
5.88,1.00141887
5.9,0.99200522
5.92,0.98267434
5.94,0.97342561
5.96,0.96425844
5.98,0.95517221
6,0.94616632
6.02,0.93724018
6.04,0.92839319
6.06,0.91962474
6.08,0.91093426
6.1,0.90232113
6.12,0.89378479
6.14,0.88532462
6.16,0.87694007
6.18,0.86863053
6.2,0.86039544
6.22,0.8522342
6.24,0.84414626
6.26,0.83613103
6.28,0.82818795
6.3,0.82031644
6.32,0.81251595
6.34,0.80478591
6.36,0.79712577
6.38,0.78953496
6.4,0.78201293
6.42,0.77455914
6.44,0.76717303
6.46,0.75985406
6.48,0.75260169
6.5,0.74541537
6.52,0.73829458
6.54,0.73123877
6.56,0.72424742
6.58,0.71732
6.6,0.71045599
6.62,0.70365486
6.64,0.69691609
6.66,0.69023917
6.68,0.68362359
6.7,0.67706884
6.72,0.67057441
6.74,0.6641398
6.76,0.65776451
6.78,0.65144804
6.8,0.6451899
6.82,0.63898959
6.84,0.63284663
6.86,0.62676054
6.88,0.62073083
6.9,0.61475702
6.92,0.60883864
6.94,0.60297522
6.96,0.59716629
6.98,0.59141138
7,0.58571003
7.02,0.58006178
7.04,0.57446617
7.06,0.56892276
7.08,0.56343108
7.1,0.55799069
7.12,0.55260116
7.14,0.54726203
7.16,0.54197287
7.18,0.53673325
7.2,0.53154273
7.22,0.52640089
7.24,0.52130729
7.26,0.51626153
7.28,0.51126317
7.3,0.5063118
7.32,0.50140701
7.34,0.49654839
7.36,0.49173553
7.38,0.48696802
7.4,0.48224547
7.42,0.47756748
7.44,0.47293365
7.46,0.46834359
7.48,0.46379691
7.5,0.45929323
7.52,0.45483216
7.54,0.45041331
7.56,0.44603632
7.58,0.44170081
7.6,0.43740641
7.62,0.43315274
7.64,0.42893945
7.66,0.42476616
7.68,0.42063253
7.7,0.41653819
7.72,0.41248278
7.74,0.40846596
7.76,0.40448737
7.78,0.40054668
7.8,0.39664353
7.82,0.39277759
7.84,0.38894851
7.86,0.38515597
7.88,0.38139963
7.9,0.37767916
7.92,0.37399424
7.94,0.37034453
7.96,0.36672972
7.98,0.36314949
8,0.35960353
8.02,0.3560915
8.04,0.35261312
8.06,0.34916806
8.08,0.34575603
8.1,0.34237671
8.12,0.33902981
8.14,0.33571503
8.16,0.33243207
8.18,0.32918063
8.2,0.32596044
8.22,0.32277119
8.24,0.3196126
8.26,0.3164844
8.28,0.31338629
8.3,0.31031799
8.32,0.30727924
8.34,0.30426976
8.36,0.30128926
8.38,0.2983375
8.4,0.29541419
8.42,0.29251907
8.44,0.28965189
8.46,0.28681237
8.48,0.28400026
8.5,0.28121531
8.52,0.27845726
8.54,0.27572586
8.56,0.27302086
8.58,0.27034201
8.6,0.26768906
8.62,0.26506179
8.64,0.26245993
8.66,0.25988326
8.68,0.25733154
8.7,0.25480454
8.72,0.25230201
8.74,0.24982373
8.76,0.24736948
8.78,0.24493902
8.8,0.24253214
8.82,0.2401486
8.84,0.23778819
8.86,0.23545069
8.88,0.23313589
8.9,0.23084356
8.92,0.2285735
8.94,0.2263255
8.96,0.22409934
8.98,0.22189482
9,0.21971173
9.02,0.21754988
9.04,0.21540906
9.06,0.21328906
9.08,0.2111897
9.1,0.20911077
9.12,0.20705209
9.14,0.20501345
9.16,0.20299467
9.18,0.20099556
9.2,0.19901593
9.22,0.19705559
9.24,0.19511437
9.26,0.19319208
9.28,0.19128853
9.3,0.18940355
9.32,0.18753697
9.34,0.1856886
9.36,0.18385828
9.38,0.18204582
9.4,0.18025106
9.42,0.17847383
9.44,0.17671396
9.46,0.17497129
9.48,0.17324565
9.5,0.17153687
9.52,0.16984479
9.54,0.16816927
9.56,0.16651012
9.58,0.16486721
9.6,0.16324037
9.62,0.16162944
9.64,0.16003428
9.66,0.15845473
9.68,0.15689065
9.7,0.15534188
9.72,0.15380828
9.74,0.1522897
9.76,0.15078599
9.78,0.14929701
9.8,0.14782263
9.82,0.14636269
9.84,0.14491707
9.86,0.14348562
9.88,0.1420682
9.9,0.14066468
9.92,0.13927493
9.94,0.13789881
9.96,0.1365362
9.98,0.13518695
10,0.13385094
10.02,0.13252805
10.04,0.13121814
10.06,0.12992109
10.08,0.12863678
10.1,0.12736508
10.12,0.12610587
10.14,0.12485903
10.16,0.12362443
10.18,0.12240197
10.2,0.12119152
10.22,0.11999297
10.24,0.1188062
10.26,0.1176311
10.28,0.11646754
10.3,0.11531543
10.32,0.11417465
10.34,0.11304509
10.36,0.11192664
10.38,0.11081919
10.4,0.10972264
10.42,0.10863688
10.44,0.1075618
10.46,0.1064973
10.48,0.10544328
10.5,0.10439964
10.52,0.10336627
10.54,0.10234308
10.56,0.10132996
10.58,0.10032682
10.6,0.09933356
10.62,0.09835008
10.64,0.09737629
10.66,0.0964121
10.68,0.09545741
10.7,0.09451212
10.72,0.09357615
10.74,0.09264941
10.76,0.0917318
10.78,0.09082323
10.8,0.08992363
10.82,0.08903289
10.84,0.08815094
10.86,0.08727769
10.88,0.08641304
10.9,0.08555693
10.92,0.08470926
10.94,0.08386995
10.96,0.08303893
10.98,0.0822161
11,0.08140139
11.02,0.08059473
11.04,0.07979602
11.06,0.0790052
11.08,0.07822218
11.1,0.0774469
11.12,0.07667927
11.14,0.07591921
11.16,0.07516667
11.18,0.07442155
11.2,0.07368379
11.22,0.07295332
11.24,0.07223006
11.26,0.07151395
11.28,0.07080491
11.3,0.07010288
11.32,0.06940778
11.34,0.06871955
11.36,0.06803812
11.38,0.06736343
11.4,0.0666954
11.42,0.06603397
11.44,0.06537909
11.46,0.06473067
11.48,0.06408867
