TIME,Cp[0]:1,Cp[1]:1,Cp[2]:1,Cp[3]:1,Cp[4]:1,Cp[5]:1,Cp[6]:1,Cp[7]:1,Cp[8]:1,Cp[9]:1,Cp[10]:1,Cp[11]:1,Cp[12]:1,Cp[13]:1,Cp[14]:1,Cp[15]:1,Cp[16]:1,Cp[17]:1,Cp[18]:1,Cp[19]:1,Cp[20]:1
0.58,3.23543956,3.0651168,4.05152639,3.56511966,3.99643532,3.69881096,3.87147083,3.46885106,3.53553997,3.5423493,3.91962595,3.56299345,4.00615534,3.34674939,3.35555861,3.65909492,3.36137902,4.12817208,4.30571068,3.70041082,3.29251649
0.6,3.97878977,3.65072708,3.89272023,3.61751849,4.19582069,3.85721258,3.87212277,4.29693966,3.82890114,4.12388879,4.71105191,4.47893149,3.52369154,3.72330318,3.39976093,3.45981974,3.88013413,4.13506073,4.08193227,3.70451156,4.07794671
0.62,4.34774234,3.25017465,4.08624077,3.68137918,4.29048197,3.50189108,2.80305172,3.90688497,4.82714419,3.64382031,3.36686377,4.09300165,3.59024787,3.83940719,3.60115906,3.77101069,3.81163054,4.37902537,3.7229669,3.691697,4.20494626
0.64,4.66040735,4.3171509,4.74142439,4.132668,4.08334503,3.99937691,3.34962567,4.27405493,4.5674473,4.579871,3.07638236,3.54443641,4.6316963,3.89468032,3.89297575,3.7540937,4.89101114,4.05941898,4.36881928,3.94918008,4.24259904
0.66,3.47631034,3.79701041,3.35862995,2.81507314,3.98828628,3.91463563,4.1090727,3.56472921,4.528498,4.76603208,3.87223354,4.20221525,4.18048091,4.11855483,3.30219323,3.01779315,4.14745117,3.95060391,4.16052166,4.11668409,4.41466482
0.68,4.65505649,4.38587462,4.09444427,4.16180858,3.65032052,4.8252312,4.46489469,3.6882997,3.22461809,4.12137306,3.59217364,4.12782593,4.5516256,3.66501352,4.6379696,5.25453001,4.20791988,3.5994036,4.19707521,4.49518378,4.08462794
0.7,4.4602961,4.48355716,4.48069266,4.46363744,4.85629632,3.32906415,4.89330139,4.1732125,4.20561871,4.01728679,4.26755416,3.58648201,3.80809512,4.11975491,4.03605588,5.09239433,4.1352709,4.07318051,5.08444761,4.15182545,4.46175981
0.72,4.03132472,4.18423885,3.7892635,4.12068363,4.51982632,4.37899131,4.4956751,4.48149631,4.15467856,4.74705827,4.16246066,3.71829148,4.31247899,4.28069908,3.98419132,4.7731658,3.87176898,5.23309704,4.60153544,4.16603158,3.5439157
0.74,3.800937,3.45244041,4.05997085,4.67878765,3.88418934,3.98742974,4.80502458,5.00512148,4.8780869,3.88015228,4.50142463,4.26285571,3.74177766,4.0969114,4.69913016,3.72641529,4.03620134,4.03401852,4.70364579,3.71017901,4.40332305
0.76,4.26320085,4.4475208,3.83264054,3.52449851,4.21243058,4.60736943,4.76414063,4.85102614,4.24445404,3.83008765,3.83001171,4.26225423,4.07622983,4.53555189,4.63931207,4.31228788,4.64005509,4.60803157,3.75996613,5.90229191,4.38935029
0.78,4.81641794,3.92638616,4.39913603,4.81939334,4.55178369,3.91519454,5.1228657,4.31118842,4.77499041,4.22119529,4.57256026,5.12020465,3.73824488,4.32883404,4.64215849,4.58915635,4.19013485,4.46377858,4.93939167,3.90232976,4.19594204
0.8,5.43604098,4.17565123,3.8478743,4.2841927,4.69077955,4.72430063,4.7356796,4.97332165,3.69204694,3.29241435,4.1742988,3.58017821,5.12017138,4.88200947,4.2504324,3.80190919,4.50983588,5.10075845,4.35475252,4.29786793,3.84136774
0.82,4.43625484,4.61872182,4.14238101,4.85394011,3.95553413,4.97900054,4.06645542,3.93504431,5.15966239,5.07734289,3.78078968,4.86827015,4.07827816,4.864218,4.38508075,3.8773627,4.90343128,5.05097964,3.86051383,5.19291129,4.19638658
0.84,4.61110661,4.02239753,3.93886371,4.36338427,4.60725513,4.12129336,4.76637717,5.02643443,4.48698141,4.8158586,4.93002692,5.5547646,5.20203989,4.11990882,4.85425037,4.94113365,4.70805516,4.890283,3.89179263,4.91775493,4.1240521
0.86,4.95832388,4.52683837,4.40467845,4.58154646,4.82473789,4.54760937,3.96651362,4.02002429,4.88721338,4.82719878,4.38686906,5.12427185,4.25258567,4.65206803,4.15841504,3.91024259,4.184933,4.57364554,4.48476091,4.72615644,4.77325842
0.88,5.53595301,4.36544198,4.90375205,4.91401189,4.61725176,5.26257605,4.69848201,5.62158526,4.99489531,4.99345923,4.28724494,5.28067292,4.41302659,4.1855816,4.35281581,4.76723424,4.25327672,4.79795451,4.83846578,5.26441509,4.32005555
0.9,4.39226237,4.45827257,5.22096842,3.65068081,4.50714252,5.4543771,5.16651107,4.50911289,5.84612752,4.29029817,4.96852256,4.62164023,4.17099836,4.84370933,4.95678861,4.73885217,4.09158717,4.10738414,4.68505215,5.09766045,4.66802071
0.92,4.46255989,4.69769769,5.33413509,4.70306707,4.45094276,4.58351338,4.56782899,4.04422354,4.43860516,5.39654639,4.76411547,5.4187502,4.23319721,4.2052241,4.73424006,5.1041375,4.82982501,4.67169409,4.41624139,4.96117755,4.63291112
0.94,5.18634746,5.02362776,5.45180197,4.8567885,4.23056523,5.51501362,4.98374754,5.45807341,4.39691727,3.61540635,5.41656937,5.28323785,4.71905029,4.96579505,5.25448958,4.72950484,4.5300264,4.72224005,4.85028861,4.54265738,4.84454261
0.96,4.63276988,4.82692309,5.20036054,5.03975194,4.92193129,4.7615574,4.93697531,4.78381773,4.35095282,4.57023749,5.25185219,5.28237968,4.59167432,4.70464839,4.46095749,4.71286541,4.44858477,4.63417346,5.54003971,5.62127967,5.28648423
0.98,4.57627464,4.93965271,5.18668759,4.64202322,5.30029106,4.43763514,4.72990531,5.18051632,4.32939791,4.81615533,5.270124,5.2597861,5.2920123,5.04309251,4.12632374,4.5986995,5.32969458,4.89883722,5.00421209,4.59693544,4.1316263
1,4.43704261,3.95382778,4.38926112,5.86610454,5.39677343,4.19338526,5.75113556,5.24758651,4.5960072,4.98260182,4.22501724,5.02961869,4.63361466,4.61941444,4.87671808,4.97954234,4.74780582,4.50353015,5.1771119,4.68611155,4.07647495
1.02,4.46276582,5.66224345,5.11113445,4.84368775,5.01447469,5.31137197,3.87688082,5.53092474,4.42893842,4.51434901,4.46915083,4.74995007,4.34285755,4.47187719,4.86204287,5.51998469,5.1902187,5.23856314,5.31328176,5.15910609,4.72424041
1.04,5.320126,4.38301309,4.47739194,4.52487063,4.50438575,4.88773812,4.52284375,4.53101733,4.31921529,4.99740289,4.23770222,4.22633739,4.76752767,4.99747225,5.74951049,5.38226149,4.06898087,4.92241981,4.85675808,5.07641152,4.91832495
1.06,4.64125079,4.93270524,4.99502167,5.5960669,4.51577099,4.78568121,5.02928122,4.57317027,4.67342794,4.74322805,4.93721638,4.63765794,4.88737959,4.89709866,4.62836989,4.91798352,5.39644669,4.86282813,4.47792334,4.12055227,4.80657101
1.08,5.62919744,4.72412564,4.98307128,4.93449195,5.27262046,4.51461706,5.70937237,5.29321852,5.21586127,5.20206207,4.85130014,3.97404803,5.98967255,4.67728438,5.75471859,5.73990353,4.68682993,5.21918723,4.42331999,5.10168365,5.0390043
1.1,5.36684385,5.35404842,4.83641269,4.68321976,5.11761142,5.03037646,5.38470472,5.41490925,3.99373724,4.91379171,5.42975806,5.50556179,4.36338778,4.75806754,4.87397395,5.68592021,5.69967038,4.9678723,5.03758721,4.1862695,5.09756836
1.12,4.8439395,5.31220547,3.88782185,4.55244236,4.39316081,4.57903887,4.38741551,3.81072872,4.59107557,4.81430945,5.06602875,4.85449176,4.73087513,5.52241064,4.97399617,5.61010096,5.1082411,5.59487165,5.43864975,4.74831773,5.42567643
1.14,5.59241017,4.55009456,3.79047522,5.45778805,4.79547047,4.41088666,4.90848499,5.70879181,4.70705692,5.3562082,4.465228,4.73254335,4.38740751,3.7835527,4.62287554,4.82095084,5.07352305,4.87986408,5.65373217,5.07557279,4.81495228
1.16,4.86939749,5.13473749,4.20658747,5.48289045,5.54867467,4.67150217,4.84772136,5.58370013,4.57403766,4.52707247,6.0413729,4.78826227,4.79670724,5.16295917,5.19038078,5.39523467,4.81926946,4.90417145,4.70255154,5.90833405,4.98981001
1.18,4.97852093,5.1589499,5.13327993,5.46887601,4.2759776,5.46744492,4.78824867,4.79645912,5.84434613,4.30179081,4.85529263,4.8912571,4.73036734,4.78962531,5.22117126,5.12971207,5.00186888,4.2437619,5.1847309,4.9933622,4.89519884
